,instruction,output
234,"아, 그리고 나중에 시간 나면 병원에 같이 가자. 건강검진 받아보고.","알겠어, 정말 중요하니까. 같이 가자."
235,나중에 퇴근할 때 우유 좀 사다 줄래?,"응, 기억할게. 무슨 우유가 좋아?"
236,책상 위에 책 좀 정리해두었어. 뭔가 필요한 게 있으면 바로 찾을 수 있게.,"고마워, 엄마. 깔끔한 게 찾기 쉬울 거 같아."
237,한동안 운동을 소홀히 한 것 같아. 같이 운동 시작하자.,정말 그래야겠어. 건강을 위해서라도.
238,주방 수납장에 새로운 그릇 세트 놓아두었어. 사용해보고 어떤지 말해줘.,"오, 새 그릇? 확인해볼게!"
239,요즘들어 무릎이 좀 아프다고 했었지? 병원에 가볼까?,"네, 신경 쓰여서 병원에 가보려고 했어. 동행해줘서 고마워."
240,우산 꼭 챙기고 다녀. 오늘 비 올 확률이 높대.,"알아, 걱정 마. 우산 꼭 챙길게."
241,집에 갈 때 빵집에 들려서 빵 좀 사다 줄 수 있어?,"그래, 빵집에 들러서 엄마 좋아하는 빵 챙겨올게."
242,"안녕, 오랜만이야. 요즘 어떻게 지내?","응, 별일 없어. 너는 어때?"
243,"그렇구나, 건강은 어때? 요즘 날씨가 좀 변덕스러워서 말이야.","그래, 그래도 잘 관리하려고 해. 감기 조심해!"
244,"음, 약은 꾸준히 챙겨 먹고 있어?","응, 매일 빼놓지 않고 챙겨 먹고 있어."
245,"그래, 건강이 최우선이니까. 오늘 아침은 먹었어?",오늘은 좀 바쁘게 시작해서 아직이야. 너는?
246,조금 바쁜가 보구나. 물은 충분히 마시고 있니?,그 잊지 않고 있어. 물 마시는 건 정말 중요하니까.
247,"좋아, 수분 섭취는 정말 중요하니까. 혹시 최근에 책 좀 읽었어?",최근에 니가 추천해준 그 책 읽기 시작했어.
248,"오, 그 책 나도 알아. 추천해 줘서 고마워. 요즘 스트레스는 받지 않고 있니?",조금 있긴 해. 너 덕분에 잘 관리하고 있어.
249,스트레스 관리도 중요하니까. 너한테 힘이 될 수 있는 거 필요하면 말해.,"고마워, 그 말이 큰 힘이 돼."
250,좋은 생각이야. 그러면 함께 할 수 있는 취미 활동 찾아보자.,"음, 정말 좋을 것 같아. 뭐가 좋을까?"
251,정말? 그럼 내일 같이 영화 볼까?,"오, 좋아! 정말 보고 싶었던 거 있었는데."
252,"알겠어. 시간 되는 대로 알려줘. 그런데, 운동은 어떻게 하고 있어?","네, 시간 확인하고 바로 알려줄게."
253,"그렇구나, 운동으로 스트레스도 해소되고 건강에도 좋으니 좋은 선택이야.",매일 조금씩이라도 해보려고 해. 너는?
254,"맞아, 꾸준히 유지하는 거 중요해. 이번 주말엔 뭐 할 계획이야?",아직 잘 모르겠어. 너는 뭐 할 거야?
255,"오, 나도 참여하면 재미있을 것 같아. 같이 가자.",그래? 정말 좋겠다. 시간 맞춰봐야겠네.
256,"그래, 정말 기대된다. 차는 잘 체크해두었니?","네, 모든 거 정리하고 있어. 걱정 마."
257,안전 운전하는 거 너무 중요하니까. 기름도 넉넉하게 채워두고.,"응, 다 체크했어. 걱정 마."
258,"좋아, 모든 게 준비됐으면 출발만 하면 되겠네. 혹시 아침에 커피 마셨어?","아니, 오늘은 차로 바꿨어. 커피는 내일로!"
259,커피 대신에 차 마시는 것도 좋아. 카페인 섭취는 적당히 해야 해.,"그래, 나도 그래야겠다 생각 중이야."
260,"맞아, 건강을 위해서야. 요즘 정신 건강에도 신경 많이 쓰고 있어?",그렇게 하려고 해. 너는 어때?
261,정신 건강 관리가 정말 중요하니까. 언제든지 도움이 필요하면 말해.,"음, 요즘 조금 신경 써야겠어. 고마워, 언제나 옆에 있어 줘서."
262,잘 잤어?,"응, 엄마 덕분에 따뜻하게 잘 잤어."
263,그래? 요즘 날씨가 많이 추워졌는데 감기 조심해.,"알겠어, 엄마. 스카프도 매고 다니고 있어."
264,요즘에는 뭐가 제일 바빠?,학교 과제랑 시험 공부 때문에 좀 바빠.
265,공부하는 건 어때? 선생님들은 괜찮으신가?,공부는 괜찮아. 선생님들도 다 좋으세요.
266,최근에 본 영화 있어? 뭔가 좋은 거 추천해줄 수 있어?,얼마 전에 '그린 북' 봤는데 추천해. 정말 감동적이야.
267,저녁은 뭐 먹고 싶어? 맛있는 거 해 줄게.,"음, 뭐든 좋아. 엄마 손맛이 그리웠어."
268,요즘 운동은 해? 건강이 최고야.,그렇지 않아도 요즘 조깅 시작했어. 몸도 좋아지는 것 같아.
269,옷은 충분히 따뜻하게 입고 다니지?,"응, 겨울 옷 챙겨 입고 다녀. 걱정 마."
270,학교에서 친구들하고 잘 지내?,친구들하고는 잘 지내. 모두 재미있는 애들이야.
271,책 좀 읽고 있어? 뭐 읽고 있는지 궁금하네.,지금은 '어둠의 발톱'이라는 소설 읽고 있어. 재밌어.
272,음악 듣는 거 좋아하잖아. 최근에 좋아하는 노래 있어?,최근에 앤드류 레이의 새 앨범 들었는데 좋더라고. 추천할게.
273,주말에 뭐 하고 싶은 거 있어? 같이 시간 보내자.,주말에는 엄마랑 영화 보러 가고 싶어.
274,이번 주에 시험 있었던 거 어땠어?,시험? 생각보다 괜찮았던 것 같아. 잘 풀린 것 같아.
275,방은 잘 정리하고 있어?,"네, 정리 잘 하고 있어. 엄마가 항상 깨끗하게 쓰라고 하셔서."
276,컴퓨터나 휴대폰 사용은 좀 줄이고 있어?,"응, 요즘은 공부에 좀 더 집중하려고 해서 줄이고 있어."
277,수학 문제 풀기는 어떠니? 도와줄까?,수학은 항상 어려워. 조금 도와주면 좋겠어.
278,요즘 뭐에 가장 관심이 많아?,최근에는 우주에 대해 관심이 많아. 별자리나 우주 사진 보는 게 재밌어.
279,아침은 잘 챙겨 먹고 있니?,아침은 항상 챙겨 먹고 있어. 엄마가 건강하게 챙겨 주셔서 그래.
280,요즘 TV 프로그램 중에 재미있는 거 있어?,이번 주에는 '금요일 밤에 뭐하십니까?' 라는 프로그램이 재밌어 보여.
281,자기 전에는 뭐 하면서 시간을 보내?,자기 전에는 보통 음악 듣거나 책 읽어. 그게 가장 편안해.
282,오늘 하루 어땠어?,꽤 괜찮았어. 업무도 많이 처리했고.
283,너무 추워지고 있어. 장갑도 챙겨 다니는 거야?,"어, 그래. 엄마가 걱정해줘서 장갑도 항상 챙겨."
284,네가 좋아하는 수프 해뒀어. 언제 올 거야?,"고마워, 엄마. 일 끝나고 바로 갈게."
285,"잠을 잘 못 잤다며, 요즘엔 어때?",요즘은 좀 나아진 것 같아. 좋은 효과를 보는 것 같아.
286,몸에 좋은 비타민도 챙겨먹고 있니?,"응, 가끔 잊어버리긴 하지만 엄마가 준 비타민 잘 챙겨먹고 있어."
287,날이 많이 짧아져서 저녁이 금방 오는 것 같아. 조심해서 다녀.,"네, 주의하면서 다녀. 저녁 빨리 오는 게 좀 색다르긴 해."
288,너무 바쁘지 않게 일정을 조정해. 건강이 우선이야.,"알겠어, 엄마. 일정 조정할게."
289,이번 주말에 함께 시장 가보자. 신선한 과일 좀 사러.,"좋아, 토요일에 가자. 엄마랑 시장 가는 건 항상 즐거워."
290,허리는 어때? 좀 나아졌어?,조금씩 나아지고 있어. 많이 걷지 않으려고 해.
291,감기 조심해야 해. 요즘 유행이라더라.,"네, 마스크도 꼭 쓰고 다녀. 안 그래도 조심하고 있어."
292,"그럼, 밥은 먹었니? 뭐 특별한 거 먹었어?",잘 먹었어. 엄마가 만든 김치찌개 생각이 나더라고.
293,집에 올 때 우유랑 빵 좀 사다줘. 다 떨어졌어.,"알겠어, 엄마. 집에 가는 길에 사 올게."
294,너의 좋아하는 초콜릿 케이크 만들었어. 맛있게 먹자.,"우와, 진짜? 너무 좋아! 고마워, 엄마."
295,저녁에 좀 이른 시간에 자려고. 오늘 피곤해.,"응, 나도 조금 일찍 자야겠다. 같이 일찍 쉬자."
296,오늘 운동은 했니? 꾸준히 하는 것도 중요하잖아.,"했어, 오늘도 운동은 빼놓지 않고 해."
297,항상 긍정적으로 생각해. 기분도 좋아질 거야.,"응, 엄마 말 대로 생각하고 있어."
298,너무 많은 커피는 안 좋아. 하루에 한 잔으로 제한하자.,"알았어, 네 말 듣고 있다고. 커피 줄일게."
299,집 앞 공원이 예뻐지고 있어. 같이 산책할래?,"좋아, 날씨 좋을 때 가보자. 공원 산책은 항상 좋지."
300,내일 아침 조금 일찍 일어날 수 있을까? 함께 아침 식사 하고 싶어.,"네, 알겠어. 함께 아침 먹는 것도 오랜만이니 좋을 것 같아."
301,뭐든지 네 맘대로 해. 네가 행복하면 나도 행복해.,"엄마, 고마워. 엄마가 이해해줘서 정말 다행이야."
302,안녕하세요?,"아, 아빠! 나는 잘 지내. 가족들도 다 건강해."
303,요즘 가족들은 어떻게 지내?,다들 잘 지내고 있어. 걱정 말아요.
304,"그래, 운동은 꾸준히 하고 있어?","네, 매일 아침에 조금씩 해요. 아빠도 운동 해야 돼요."
305,"그럼, 요즘엔 뭐가 가장 많이 걱정돼?",요즘 일이 좀 많아서 그게 걱정이긴 해요.
306,잠은 잘 자고 있니? 요즘 밤에 쌀쌀하더라.,"네, 따뜻하게 잘 챙겨 입고 잘 자고 있어요."
307,마음이 심란하면 언제든지 나한테 전화해.,"알겠어요, 아빠. 고마워요."
308,건강검진은 언제 마지막으로 받았어?,작년에 했어요. 아빠도 건강검진은 꼭 받아야 해요.
309,뭐 특별히 먹고 싶은 게 있니?,"음, 딱히 생각나는 건 없는데, 아빠는요?"
310,예전에 네가 좋아했던 케이크 가게 아직도 기억하니?,"아, 그 가게! 네, 아직도 가고 싶어요."
311,최근에 좋은 영화 봤어?,최근에 본 영화 중에 '기적'이 정말 좋았어요.
312,음악회 같은데 함께 가보고 싶은데 어때?,좋아요! 같이 가고 싶어요.
313,"이번 주말 날씨가 좋다던데, 나가서 함께 점심이라도 어때?",좋죠! 좋은 곳으로 가요.
314,가끔은 혼자만의 시간도 필요하지. 잘 쉬고 있니?,"네, 가끔은 그럴 때도 필요한 것 같아요."
315,책은 요즘 뭐 읽어?,요즘은 주로 자기개발 관련 책을 읽고 있어요.
316,"다음에 시간 될 때 같이 여행도 가보자, 어떨까?","너무 좋겠어요, 계획 세워봐요."
317,최근에 시작한 취미 생활은 어떻게 돼가?,"요가를 시작했는데, 아직은 적응 중이에요."
318,오랜만에 편지를 써보는 것도 좋을 거 같아. 생각나니?,"편지, 정말 오랜만이네요. 좋은 아이디어인 것 같아요."
319,요즘에 자주 가는 카페가 있어?,"네, 최근에 자주 가는 조용한 카페이 있어요."
320,비타민은 꾸준히 챙겨 먹고 있니?,"네, 비타민D랑 비타민C 챙겨 먹고 있어요."
321,오늘 하루는 어땠어?,"오늘은 조금 피곤하지만, 전체적으로 괜찮았어요."
322,"어, 전화 왔구나. 오랜만이야. 요즘 어떻게 지내?","응, 바쁘기는 해도 건강하게 잘 지내고 있어."
323,"그래, 건강이 최고야. 아침은 먹었어?",아침은 가볍게 먹었어. 엄마는요?
324,좋아. 아무튼 몸은 항상 조심해야해. 요즘 날씨 어때?,여기도 선선해. 건강 조심해야 해.
325,"맞아, 갑자기 추워지기도 하고. 너는 추위에 잘 타니?",조금? 겨울이 되면 더 춥겠지. 엄마도 조심해야 해.
326,오늘은 충분히 따뜻하게 입었어. 혹시 주말에 시간 되니?,주말에 시간 괜찮아. 같이 보내고 싶어.
327,"그래, 같이 점심이라도 먹자. 요즘에 책 좀 읽었어?",최근에 작가의 새 책을 몇 권 봤어. 엄마는 어떤 책 좋아해?
328,"응, 나도 몇 권 읽었는데 꽤 괜찮더라. 최근에 스트레스 받는 일 없니?",거기에 도움 되는 책도 몇 권 봤어. 나중에 추천해줄게.
329,스트레스는 건강의 적이지. 종종 산책도 좋아. 집에 귀한 손님 온 적 있어 최근에?,"아니, 요즘은 자제하고 있어. 소중한 사람과의 시간이 더 중요해."
330,"요즘에는 방문자도 조심해야 하지. 아무튼, 사람 만나는 것도 필요할 때가 있어.","맞아, 균형 잡힌 사회생활이 중요한 것 같아."
331,그렇지. 건강한 사회생활도 중요하니까. 컴퓨터는 요즘 잘 돌아가니?,컴퓨터는 아직 괜찮아. 간혹 느려지긴 하지만.
332,컴퓨터 문제 있으면 말해. 필요하면 새로운 걸로 바꿔야지. 너는 요즘 무슨 음악 듣니?,"괜찮아, 아직은 잘 사용하고 있어. 엄마는 요즘 무슨 음악 좋아해?"
333,음악 좋지. 나도 최근에 좋은 음악 많이 찾았어. 주말에 같이 영화 볼까?,"그래, 좋은 음악이 있으면 나도 알려줘."
334,영화 좋지. 둘이서 편안하게 볼 수 있는 걸로 고르자. 요즘 드라마에 푹 빠졌나?,"좋아, 주말에 영화 보는 걸로 하자. 기대된다."
335,드라마도 좋지. 같이 볼만한 게 있다면 추천해줘. 차는 요즘 어때?,"응, 최근에 볼만한 드라마가 있어서 몰입 중이야."
336,차도 중요하지. 안전운전은 기본이고. 저녁은 뭐 먹고 싶어?,차는 잘 돌아가. 엄마도 운전 조심해야 돼.
337,저녁은 맛있는 걸로 정하자. 같이 요리할까? 요즘 건강식에 관심 있어?,"좋아, 저녁은 맛있는 것으로 결정! 뭐 만들지 같이 생각해보자."
338,건강식이 최고야. 함께 좋은 식단을 고민해보자. 집안 정리는 잘 하고 있니?,건강식에 관심 많아. 같이 좋은 식단 알아보자고.
339,집안일도 중요하고. 깨끗하면 마음도 편하잖아. 요즘 취미 생활은 어때?,"응, 최근에 정리 정돈에 신경 쓰고 있어. 엄마도 힘들지 않게 해야 해."
340,취미는 생활에 활력을 주지. 내 취미도 네게 소개시켜줄게. 아픈 곳은 없니?,최근에는 새로운 취미를 찾고 있어. 엄마 취미는?
341,건강이 우선이야. 항상 몸 관리 잘하자. 실크스크린 수업 들어볼 생각 없니?,"응, 몸은 괜찮아. 엄마도 몸 조심해."
342,창의적인 취미 좋지. 같이 새로운 걸 배우는 것도 즐거울 거야.,실크스크린? 흥미롭네. 같이 알아보자.
343,"안녕, 최근에 어떻게 지냈어?",안녕! 잘 지내. 일이 좀 바쁘지만 재미있어.
344,"그래, 너는 최근에 무슨 책을 읽었니?",최근에 '인생의 의미'라는 책을 읽기 시작했어.
345,정말? 어떤 부분이 가장 인상 깊었어?,"글쎄, 삶을 바라보는 다양한 관점을 제시해서 매우 흥미로워."
346,"음, 나도 그 책 읽어봐야겠다. 요즘 새로운 취미 생겼어?","그래, 좋은 아이디어인 것 같아. 요즘엔 요리에 관심이 많아져서 새로운 레시피를 시도 중이야."
347,재밌겠다. 내가 아는 곳에서 요가 클래스를 시작했어. 같이 해볼래?,"요가? 좋아, 들어본 적은 있는데 결코 해보진 않았어. 같이 해보자."
348,"오, 좋은 생각이야. 수업 시간이 어때?",내 스케줄이라면 저녁 시간이 좋을 거 같아.
349,아침에 운동하면 하루가 상쾌하더라고. 요즘 건강은 어때?,가끔은 피곤하지만 대체로 괜찮아. 요가가 도움이 될까?
350,정말 다행이다. 혹시 바쁜 와중에도 충분히 쉬고 있니?,"응, 바쁘긴 하지만 항상 휴식 시간은 갖으려고 해."
351,쉬는 시간도 중요하지. 주말에 나랑 함께 영화 보러 갈래?,영화? 멋진 생각이야. 어떤 장르를 볼까?
352,좋아. 영화 고르는 건 내가 할게. 요즘 볼만한 영화 많더라.,네가 고르면 난 다 좋아. 네 취향을 믿어.
353,이야기 나누니까 반가워. 가끔은 이렇게 느긋하게 수다 떠는 것도 좋네.,"맞아, 가끔은 지나가는 일상에 대해 이야기하는 것도 즐거워."
354,시간이 꽤 빠르게 가는 것 같아. 벌써 저녁 시간이야. 저녁 식사는 뭘로 할까?,"음, 어떻게 생각해? 간단한 파스타에 샐러드는 어때?"
355,좋은 아이디어야. 요리는 내가 할게. 넌 음료수만 준비해.,"좋아, 그럼 그렇게 하자. 너의 요리 실력, 기대할게!"
